scale	roiS	series_name	nr_in_chamber	nr_class	name	file_id	histogram_cv	histogram_energy	histogram_entropy	histogram_kurtosis	histogram_mean	histogram_median	histogram_skewness	histogram_variance	cluster_prominence	cluster_shade	correlation	diagonal_moment	difference_energy	difference_entropy	energy	entropy	inertia	inverse_different_moment	kappa	maximum_probability	sum_energy	sum_entropy	sum_variance	created_at	error	algorithm	assignment_id.1	series	chamber	day_date	start_pipetting	pipetting_duration	doorclose_duration	reset_duration	p_norm_id	p_colour_id	parameter_id.1	colour_r	colour_g	colour_b	colour_routine	colour_type	norm_a	norm_b	norm_scale	norm_type	roi_inner	roi_outer	roi_angle_start	roi_angle_end	roi_type	roi_section	assessment	assignment_id.2	nr_class.1	name.1	series.1	nr_chamber_solution	nr_basic_solution	nr_substance	last_solution	evaporation_duration_in_hour_minute	evaporation_duration_in_sec	evaporation_duration	crystal_duration	replikats	cucl2_in_mg	substance_in_mg	specs_group	specs_supplier	substance_group	sample	supplier	it8check	max_error	mean_error	center	x	y	center_x	center_y	assignment_id.3	nr_class.2	class_desc	parameter_id	assignment_id
1	0-100	DM	1	31	P.2016.04.16.DM-01-2016.04.22_14_01.cut.tif	1212960	0.311096	0.00707	5.098879	-0.119599	127.6058	128	0.008276	1575.903066	95396209.96908	-25660.85488	0.802101	141.988299	0.024716	3.933214	9.2e-05	9.626703	621.186144	0.063635	0.01443	0.000226	0.003765	5.736627	5656.639325	Sun May 01 21:06:02.259837 2016	0	TEX	19641	126167	P	2016.04.16	2016.04.20_14:25:00	1020	86160	NA	1	1	5	33	33	33	tiff2bw	equal	4	4	NA	gaussian	0	1	0	360	CircleCircle	0	NA	19641	31	P.2016.04.16.DM-01-2016.04.22_14_01.cut.tif	126167	1	2	2	0	421:31	1517460	NA	NA	7	128	300	Cress A4 potA	Bingenheim / cress	Cress A4 potA	cress	Bingenheim	NA	12.19	1.86	1	4.6228	5.1816	NA	NA	19641	31	Cress A4 potA	5	19641
1	0-100	DM	2	32	P.2016.04.16.DM-02-2016.04.22_14_01.cut.tif	1212961	0.311109	0.007072	5.098486	-0.118376	127.549881	128	0.004939	1574.652515	97157459.072669	-17897.511162	0.804994	103.075164	0.024937	3.925083	9.2e-05	9.610439	611.142727	0.064813	0.014949	0.00023	0.003772	5.736689	5656.783974	Sun May 01 20:50:04.758916 2016	0	TEX	19641	126167	P	2016.04.16	2016.04.20_14:25:00	1020	86160	NA	1	1	5	33	33	33	tiff2bw	equal	4	4	NA	gaussian	0	1	0	360	CircleCircle	0	NA	19641	32	P.2016.04.16.DM-02-2016.04.22_14_01.cut.tif	126167	2	3	3	0	446:31	1607460	NA	NA	7	128	300	Cress A4 potB	Bingenheim / cress	Cress A4 potB	cress	Bingenheim	NA	12.19	1.86	1	4.55506666667	6.92573333333	NA	NA	19641	32	Cress A4 potB	5	19641
1	0-100	DM	3	33	P.2016.04.16.DM-03-2016.04.22_14_01.cut.tif	1212962	0.311465	0.007067	5.099938	-0.105884	127.601371	128	0.010992	1579.53361	96934061.733179	-24846.031485	0.814481	134.877151	0.025548	3.900967	9.4e-05	9.58984	581.833432	0.066654	0.015584	0.000229	0.003759	5.739093	5690.677415	Sun May 01 21:06:04.334697 2016	0	TEX	19641	126167	P	2016.04.16	2016.04.20_14:25:00	1020	86160	NA	1	1	5	33	33	33	tiff2bw	equal	4	4	NA	gaussian	0	1	0	360	CircleCircle	0	NA	19641	33	P.2016.04.16.DM-03-2016.04.22_14_01.cut.tif	126167	3	4	4	0	445:21	1603260	NA	NA	7	128	300	Cress A4 potC	Bingenheim / cress	Cress A4 potC	cress	Bingenheim	NA	12.19	1.86	1	4.65666666667	6.48546666667	NA	NA	19641	33	Cress A4 potC	5	19641
1	0-100	DM	4	31	P.2016.04.16.DM-04-2016.04.22_14_01.cut.tif	1212963	0.311421	0.007072	5.099073	-0.108711	127.501783	127	0.002215	1576.623123	97306337.793603	-10870.823752	0.803474	44.746226	0.02466	3.931674	9.1e-05	9.614576	616.269782	0.064485	0.014873	0.000222	0.003787	5.73549	5655.364195	Sun May 01 21:06:02.383756 2016	0	TEX	19641	126167	P	2016.04.16	2016.04.20_14:25:00	1020	86160	NA	1	1	5	33	33	33	tiff2bw	equal	4	4	NA	gaussian	0	1	0	360	CircleCircle	0	NA	19641	31	P.2016.04.16.DM-04-2016.04.22_14_01.cut.tif	126167	1	2	2	0	445:51	1605060	NA	NA	7	128	300	Cress A4 potA	Bingenheim / cress	Cress A4 potA	cress	Bingenheim	NA	12.19	1.86	1	4.6736	6.604	NA	NA	19641	31	Cress A4 potA	5	19641
1	0-100	DM	5	34	P.2016.04.16.DM-05-2016.04.22_14_53.cut.tif	1212964	0.31128	0.007073	5.098465	-0.116459	127.474112	127	-0.00222	1574.511392	97285642.288293	-14099.185748	0.80966	70.128596	0.024892	3.917773	9.2e-05	9.606113	596.778375	0.064044	0.014778	0.000238	0.00376	5.738141	5673.893047	Sun May 01 21:06:02.636624 2016	0	TEX	19641	126167	P	2016.04.16	2016.04.20_14:25:00	1020	86160	NA	1	1	5	33	33	33	tiff2bw	equal	4	4	NA	gaussian	0	1	0	360	CircleCircle	0	NA	19641	34	P.2016.04.16.DM-05-2016.04.22_14_53.cut.tif	126167	4	5	5	0	448:21	1614060	NA	NA	7	128	300	Cress A4 potD	Bingenheim / cress	Cress A4 potD	cress	Bingenheim	NA	12.95	1.76	1	4.43653333333	6.51933333333	NA	NA	19641	34	Cress A4 potD	5	19641
1	0-100	DM	6	35	P.2016.04.16.DM-06-2016.04.22_14_04.cut.tif	1212965	0.311543	0.007066	5.100089	-0.107276	127.594555	128	0.011133	1580.15535	98812318.364288	-19546.221711	0.824977	110.670823	0.026389	3.871207	9.7e-05	9.558864	548.699252	0.069196	0.016502	0.000232	0.00376	5.741865	5721.310061	Sun May 01 21:06:05.663004 2016	0	TEX	19641	126167	P	2016.04.16	2016.04.20_14:25:00	1020	86160	NA	1	1	5	33	33	33	tiff2bw	equal	4	4	NA	gaussian	0	1	0	360	CircleCircle	0	NA	19641	35	P.2016.04.16.DM-06-2016.04.22_14_04.cut.tif	126167	5	6	6	0	447:21	1610460	NA	NA	7	128	300	Cress A4 potE	Bingenheim / cress	Cress A4 potE	cress	Bingenheim	NA	12.57	1.89	1	4.80906666667	6.77333333333	NA	NA	19641	35	Cress A4 potE	5	19641
1	0-100	DM	7	36	P.2016.04.16.DM-07-2016.04.22_14_04.cut.tif	1212966	0.311358	0.007068	5.099643	-0.109043	127.604248	128	0.01064	1578.524154	96252967.508459	-21340.150511	0.802177	109.286899	0.024731	3.932585	9.1e-05	9.621227	620.182982	0.064039	0.014511	0.00022	0.003773	5.735924	5649.881358	Sun May 01 21:05:59.237469 2016	0	TEX	19641	126167	P	2016.04.16	2016.04.20_14:25:00	1020	86160	NA	1	1	5	33	33	33	tiff2bw	equal	4	4	NA	gaussian	0	1	0	360	CircleCircle	0	NA	19641	36	P.2016.04.16.DM-07-2016.04.22_14_04.cut.tif	126167	6	7	7	0	448:1	1612860	NA	NA	7	128	300	Cress A4 potF	Bingenheim / cress	Cress A4 potF	cress	Bingenheim	NA	12.57	1.89	1	4.4196	6.57013333333	NA	NA	19641	36	Cress A4 potF	5	19641
1	0-100	DM	9	31	P.2016.04.16.DM-09-2016.04.22_14_09.cut.tif	1212968	0.311364	0.007066	5.099837	-0.11418	127.647379	128	0.016075	1579.645692	98195950.120605	-13006.067567	0.810451	72.724748	0.025416	3.91038	9.4e-05	9.590394	594.686664	0.068306	0.016541	0.000225	0.003778	5.73811	5680.060153	Sun May 01 20:50:08.860698 2016	0	TEX	19641	126167	P	2016.04.16	2016.04.20_14:25:00	1020	86160	NA	1	1	5	33	33	33	tiff2bw	equal	4	4	NA	gaussian	0	1	0	360	CircleCircle	0	NA	19641	31	P.2016.04.16.DM-09-2016.04.22_14_09.cut.tif	126167	1	2	2	0	449:1	1616460	NA	NA	7	128	300	Cress A4 potA	Bingenheim / cress	Cress A4 potA	cress	Bingenheim	NA	12.59	1.85	1	4.4704	6.33306666667	NA	NA	19641	31	Cress A4 potA	5	19641
1	0-100	DM	10	32	P.2016.04.16.DM-10-2016.04.22_14_09.cut.tif	1212969	0.311181	0.007071	5.098593	-0.118862	127.530897	128	0.002394	1574.911911	96469347.692104	-20929.275045	0.799394	114.917848	0.024572	3.939808	9.1e-05	9.628075	629.388855	0.063687	0.014451	0.000225	0.003773	5.73605	5645.476106	Sun May 01 20:50:05.009759 2016	0	TEX	19641	126167	P	2016.04.16	2016.04.20_14:25:00	1020	86160	NA	1	1	5	33	33	33	tiff2bw	equal	4	4	NA	gaussian	0	1	0	360	CircleCircle	0	NA	19641	32	P.2016.04.16.DM-10-2016.04.22_14_09.cut.tif	126167	2	3	3	0	445:21	1603260	NA	NA	7	128	300	Cress A4 potB	Bingenheim / cress	Cress A4 potB	cress	Bingenheim	NA	12.59	1.85	1	4.43653333333	6.5532	NA	NA	19641	32	Cress A4 potB	5	19641
1	0-100	DM	11	33	P.2016.04.16.DM-11-2016.04.22_14_12.cut.tif	1212970	0.311461	0.007068	5.099872	-0.105852	127.586511	128	0.009415	1579.121409	99458329.327221	-14966.120586	0.824793	83.833442	0.026232	3.873457	9.6e-05	9.55767	549.353287	0.069494	0.016729	0.000232	0.003769	5.742082	5721.543154	Sun May 01 20:50:06.00227 2016	0	TEX	19641	126167	P	2016.04.16	2016.04.20_14:25:00	1020	86160	NA	1	1	5	33	33	33	tiff2bw	equal	4	4	NA	gaussian	0	1	0	360	CircleCircle	0	NA	19641	33	P.2016.04.16.DM-11-2016.04.22_14_12.cut.tif	126167	3	4	4	0	446:31	1607460	NA	NA	7	128	300	Cress A4 potC	Bingenheim / cress	Cress A4 potC	cress	Bingenheim	NA	12.93	1.84	1	4.63973333333	5.41866666667	NA	NA	19641	33	Cress A4 potC	5	19641
